market_cap_cr,div_yield,roce,roe,pb,revenue_cagr_3y,ticker,pe
13570.0,1.42,16.2,11.9,1.75,0.0868,ARE&M,19.8
79280.0,0.16,11.9,10.4,5.89,0.1454,ICICIPRULI,57.9
23536.0,0.85,28.9,24.3,9.83,0.097,LALPATHLAB,42.9
10626.0,2.79,22.7,17.7,1.71,0.09,MGL,11.1
36827.0,2.47,9.62,15.7,2.04,,HUDCO,13.2
74165.0,1.29,16.0,19.0,3.95,0.0414,TORNTPOWER,23.5
27827.0,1.14,11.4,8.61,1.79,0.039,APOLLOTYRE,19.0
25371.0,0.52,21.2,18.6,3.09,0.1885,WELCORP,16.4
44789.0,0.54,22.9,17.6,4.13,0.0223,PIIND,32.8
12618.0,1.43,34.2,26.9,5.9,0.1556,INDIAMART,20.8
17689.0,0.35,13.3,14.9,2.73,0.1828,BRIGADE,23.3
18630.0,0.0,24.4,21.2,10.17,0.3061,JYOTICNC,52.6
65043.0,0.83,20.4,19.4,4.87,0.0711,ALKEM,27.1
44194.0,0.26,14.0,13.9,6.82,0.1134,JKCEMENT,42.0
19937.0,0.51,16.3,13.4,3.62,-0.0011,DEEPAKNTR,36.8
9414.0,0.48,28.5,23.0,4.2,0.1648,ELECON,22.8
9565.0,0.14,16.6,11.8,3.78,0.0605,TITAGARH,52.4
111262.0,0.93,9.82,11.0,1.64,0.3027,BAJAJHLDNG,15.1
12819.0,2.01,9.39,9.01,1.24,0.08,JMFINANCIL,10.2
12651.0,0.47,17.0,16.0,,,FIVESTAR,80.8
30344.0,0.19,20.7,18.5,6.4,0.1392,EMCURE,33.6
64471.0,0.37,10.4,14.8,4.37,,SBICARD,30.8
13102.0,0.98,19.4,16.3,1.08,0.0081,JINDALSAW,11.6
15660.0,0.24,15.1,13.9,3.85,0.0411,GRANULES,28.8
36926.0,0.46,5.58,4.15,2.09,0.0263,DALBHARAT,30.9
10230.0,1.78,21.0,15.6,2.75,0.0325,BSOFT,21.0
39653.0,0.0,7.73,2.31,1.45,0.1767,PIRAMALFIN,34.2
26431.0,0.0,27.2,32.9,11.76,0.4371,IKS,39.8
13745.0,0.92,15.7,15.6,2.11,-0.0041,DEEPAKFERT,15.7
14728.0,0.0,26.7,40.6,10.78,0.3883,JAINREC,43.3
12303.0,0.0,-13.0,-16.6,0.95,,NSLNISP,
22989.0,1.47,25.8,19.9,6.44,0.0574,TATATECH,35.0
19600.0,2.16,13.9,14.1,1.29,-0.0345,GESHIP,8.67
12480.0,1.72,10.1,8.0,2.12,-0.0529,GRAPHITE,35.9
13569.0,1.74,6.15,15.8,0.87,,J&KBANK,6.33
11502.0,0.41,21.5,21.2,5.09,0.1382,GRAVITA,30.1
10112.0,2.86,16.6,12.8,1.82,0.0642,CYIENT,18.1
16224.0,0.89,10.8,8.95,1.6,-0.0085,VTL,20.3
14714.0,0.82,15.4,11.8,3.22,0.0956,CEATLTD,23.6
9861.0,0.0,9.91,13.9,2.61,,AAVAS,20.1
22531.0,0.58,9.44,12.2,1.25,,PNBHOUSING,10.3
29112.0,0.0,-2.12,,20.86,1.314,PWL,
13409.0,0.5,28.4,22.2,10.51,,GABRIEL,51.6
35745.0,0.88,13.6,12.8,3.01,0.0934,ESCORTS,27.4
29984.0,0.08,10.6,19.1,2.19,,CHOLAHLDNG,12.7
19729.0,0.0,16.8,14.0,6.07,0.2174,AFFLE,45.0
19404.0,0.1,6.45,1.11,2.41,0.078,PPLPHARMA,
37051.0,1.35,10.5,14.5,1.85,0.0024,NLCINDIA,14.2
55493.0,0.02,8.65,1.61,40.47,-0.0513,FACT,3747.0
23099.0,0.0,7.74,6.07,16.3,0.3159,PTCIL,347.0
13503.0,0.65,15.6,10.5,4.82,0.0258,BEML,54.2
61316.0,0.06,16.9,12.4,15.33,-0.0718,LINDEINDIA,104.0
16251.0,0.43,21.9,20.1,8.09,0.08,ELGIEQUIP,39.2
